sku_id,sku_name,category,sub_category,weight_kg,length_cm,width_cm,height_cm,storage_type,preferred_zone
SKU01001,Phone X1,Electronics,Mobile,0.2,15.0,7.0,0.8,Fragile,Fast
SKU01002,Phone Pro,Electronics,Mobile,0.22,16.0,8.0,0.9,Fragile,Medium
SKU01003,Phone Lite,Electronics,Mobile,0.18,14.0,7.0,0.7,Fragile,Fast
SKU01004,Tablet 10,Electronics,Mobile,0.48,25.0,17.0,0.6,Fragile,Medium
SKU01005,Smart Watch S,Electronics,Mobile,0.05,5.0,4.0,1.2,Normal,Fast
SKU01006,Ultrabook 13,Electronics,Laptop,1.3,30.0,21.0,1.5,Fragile,Medium
SKU01007,Gaming Laptop 15,Electronics,Laptop,2.4,36.0,26.0,2.5,Fragile,Slow
SKU01008,Chromebook 11,Electronics,Laptop,1.1,28.0,20.0,1.8,Fragile,Medium
SKU01009,Workstation Pro,Electronics,Laptop,2.8,38.0,27.0,3.0,Fragile,Slow
SKU01010,Wireless Mouse,Electronics,Accessories,0.1,11.0,6.0,4.0,Normal,Fast
SKU01011,Mechanical Keyboard,Electronics,Accessories,0.8,44.0,14.0,4.0,Normal,Medium
SKU01012,USB-C Hub,Electronics,Accessories,0.08,10.0,3.0,1.0,Normal,Fast
SKU01013,Webcam HD,Electronics,Accessories,0.15,8.0,5.0,5.0,Fragile,Medium
SKU01014,Bluetooth Earbuds,Electronics,Accessories,0.04,6.0,4.0,3.0,Normal,Fast
SKU01015,Gaming Headset,Electronics,Accessories,0.35,20.0,18.0,9.0,Normal,Medium
SKU01016,Laptop Stand,Electronics,Accessories,0.6,27.0,23.0,4.0,Normal,Medium
SKU01017,HDMI Cable 2m,Electronics,Cables,0.12,15.0,15.0,2.0,Normal,Fast
SKU01018,USB-C Cable 1m,Electronics,Cables,0.05,10.0,10.0,1.0,Normal,Fast
SKU01019,Lightning Cable 1m,Electronics,Cables,0.04,10.0,10.0,1.0,Normal,Fast
SKU01020,Ethernet Cable 5m,Electronics,Cables,0.2,18.0,18.0,3.0,Normal,Medium
SKU01021,Audio AUX Cable,Electronics,Cables,0.03,8.0,8.0,1.0,Normal,Slow
SKU01022,Wall Charger 20W,Electronics,Chargers,0.06,5.0,4.0,3.0,Normal,Fast
SKU01023,Fast Charger 65W,Electronics,Chargers,0.12,7.0,5.0,3.0,Normal,Fast
SKU01024,Power Bank 10k,Electronics,Chargers,0.22,14.0,7.0,1.5,Hazardous,Fast
SKU01025,Power Bank 20k,Electronics,Chargers,0.42,16.0,8.0,2.2,Hazardous,Medium
SKU01026,Wireless Charger Pad,Electronics,Chargers,0.1,10.0,10.0,1.0,Normal,Medium
SKU01027,Microwave Oven 20L,Electronics,Home Appliances,12.5,45.0,35.0,26.0,Fragile,Bulk
SKU01028,Compact Refrigerator,Electronics,Home Appliances,22.0,50.0,48.0,85.0,Normal,Bulk
SKU01029,Air Fryer 4L,Electronics,Home Appliances,5.2,32.0,32.0,38.0,Normal,Medium
SKU01030,Electric Kettle 1.7L,Electronics,Home Appliances,1.1,22.0,16.0,24.0,Normal,Fast
SKU01031,Toaster 2-Slice,Electronics,Home Appliances,1.4,26.0,16.0,18.0,Normal,Medium
SKU01032,Blender Duo,Electronics,Home Appliances,3.1,20.0,20.0,40.0,Normal,Medium
SKU01033,Vacuum Cleaner Cordless,Electronics,Home Appliances,4.5,110.0,25.0,20.0,Normal,Medium
SKU01034,Robot Vacuum,Electronics,Home Appliances,3.8,35.0,35.0,9.0,Normal,Slow
SKU01035,Humidifier 3L,Electronics,Home Appliances,1.5,20.0,20.0,30.0,Normal,Medium
SKU01036,Smart Bulb RGB,Electronics,Smart Home,0.08,12.0,6.0,6.0,Fragile,Fast
SKU01037,Smart Plug Pack,Electronics,Smart Home,0.15,12.0,8.0,6.0,Normal,Fast
SKU01038,Smart Speaker Mini,Electronics,Smart Home,0.3,10.0,10.0,10.0,Normal,Fast
SKU01039,Security Camera 2K,Electronics,Smart Home,0.25,12.0,8.0,8.0,Normal,Medium
SKU01040,Sparkling Water 12-Pack,Groceries,Beverages,4.5,35.0,25.0,12.0,Normal,Fast
SKU01041,Soda Can 24-Pack,Groceries,Beverages,9.2,40.0,28.0,13.0,Normal,Fast
SKU01042,Energy Drink 4-Pack,Groceries,Beverages,1.6,13.0,13.0,16.0,Normal,Fast
SKU01043,Orange Juice 1L,Groceries,Beverages,1.05,9.0,9.0,24.0,Cold,Fast
SKU01044,Organic Whole Milk 1L,Groceries,Beverages,1.04,9.0,9.0,24.0,Cold,Fast
SKU01045,Ground Coffee 1kg,Groceries,Beverages,1.02,20.0,12.0,8.0,Normal,Fast
SKU01046,English Tea 100ct,Groceries,Beverages,0.25,15.0,8.0,7.0,Normal,Fast
SKU01047,Bottled Water 24-Pack,Groceries,Beverages,12.5,40.0,26.0,23.0,Normal,Bulk
SKU01048,Apple Cider 750ml,Groceries,Beverages,1.2,30.0,8.0,8.0,Fragile,Slow
SKU01049,Potato Chips Family Pack,Groceries,Snacks,0.4,35.0,20.0,10.0,Normal,Fast
SKU01050,Chocolate Bar 5-Pack,Groceries,Snacks,0.25,18.0,8.0,2.0,Normal,Fast
SKU01051,Mixed Nuts 500g,Groceries,Snacks,0.52,16.0,10.0,6.0,Normal,Medium
SKU01052,Granola Bars 12ct,Groceries,Snacks,0.45,20.0,14.0,6.0,Normal,Fast
SKU01053,Popcorn Kernel Bag 1kg,Groceries,Snacks,1.01,24.0,15.0,5.0,Normal,Medium
SKU01054,Salted Pretzels Party Size,Groceries,Snacks,0.5,38.0,22.0,12.0,Normal,Medium
SKU01055,Fruit Snacks 24ct,Groceries,Snacks,0.6,22.0,16.0,8.0,Normal,Fast
SKU01056,Canned Peeled Tomatoes 400g,Groceries,Canned Goods,0.45,8.0,8.0,11.0,Normal,Medium
SKU01057,Canned Tuna 4-Pack,Groceries,Canned Goods,0.7,9.0,9.0,12.0,Normal,Fast
SKU01058,Black Beans 400g,Groceries,Canned Goods,0.45,8.0,8.0,11.0,Normal,Medium
SKU01059,Sweet Corn Can,Groceries,Canned Goods,0.45,8.0,8.0,11.0,Normal,Medium
SKU01060,Chicken Noodle Soup Can,Groceries,Canned Goods,0.48,8.0,8.0,11.0,Normal,Fast
SKU01061,Cheddar Cheese Block 500g,Groceries,Dairy,0.52,15.0,8.0,4.0,Cold,Medium
SKU01062,Greek Yogurt 1kg,Groceries,Dairy,1.05,12.0,12.0,13.0,Cold,Fast
SKU01063,Salted Butter Pack 250g,Groceries,Dairy,0.26,12.0,6.0,4.0,Cold,Fast
SKU01064,Whipping Cream 500ml,Groceries,Dairy,0.52,8.0,8.0,12.0,Cold,Medium
SKU01065,Parmesan Shredded 200g,Groceries,Dairy,0.22,15.0,15.0,3.0,Cold,Medium
SKU01066,Frozen Pizza Pepperoni,Groceries,Frozen,0.65,30.0,30.0,3.0,Cold,Fast
SKU01067,Ice Cream Pint Vanilla,Groceries,Frozen,0.45,10.0,10.0,11.0,Cold,Fast
SKU01068,Frozen Peas 1kg,Groceries,Frozen,1.02,25.0,20.0,5.0,Cold,Medium
SKU01069,Frozen Chicken Nuggets 1.5kg,Groceries,Frozen,1.55,30.0,22.0,6.0,Cold,Fast
SKU01070,Frozen Hashbrowns 1kg,Groceries,Frozen,1.02,28.0,20.0,5.0,Cold,Medium
SKU01071,Jasmine Rice 5kg,Groceries,Pantry,5.05,35.0,22.0,10.0,Normal,Medium
SKU01072,Jasmine Rice 20kg,Groceries,Pantry,20.1,55.0,35.0,15.0,Normal,Bulk
SKU01073,Spaghetti Pasta 1kg,Groceries,Pantry,1.02,30.0,8.0,3.0,Normal,Fast
SKU01074,Extra Virgin Olive Oil 1L,Groceries,Pantry,1.4,28.0,8.0,8.0,Fragile,Medium
SKU01075,Organic Honey Jar 500g,Groceries,Pantry,0.7,12.0,7.0,7.0,Fragile,Medium
SKU01076,Creamy Peanut Butter 1kg,Groceries,Pantry,1.1,14.0,10.0,10.0,Normal,Fast
SKU01077,Pure Maple Syrup 500ml,Groceries,Pantry,0.8,18.0,8.0,5.0,Fragile,Slow
